UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
3416,L50595,L,301.4,310.4,0.3158669996823705,36.9,133.0,False,False,False,False,False,False
7130,L54309,L,300.6,310.0,0.3158669996848344,31.0,107.0,False,False,False,False,False,False
2320,M17179,M,299.2,308.8,0.3158669996872871,33.5,185.0,False,False,False,False,False,False
9601,M24460,M,298.9,310.0,0.3158669996814987,45.3,58.0,False,False,False,False,False,False
614,L47793,L,298.1,309.9,0.3158669996847934,30.0,53.0,False,False,False,False,False,False
4602,M19461,M,303.0,311.1,0.3158669996691586,54.3,117.0,True,False,True,False,False,False
5247,L52426,L,300.0085898275486,310.0115802171291,0.31586699967605636,41.0,56.0,False,False,False,False,False,False
7008,L54187,L,300.5,310.6,0.31586699967815074,45.2,8.0,False,False,False,False,False,False
9375,M24234,M,297.8,308.5,0.31586699967612086,44.7,88.0,False,False,False,False,False,False
1962,L49141,L,297.8,310.0115802171291,0.31586699967493104,51.2,107.0,False,False,False,False,False,False
7006,M21865,M,300.0085898275486,310.7,0.3158669996662113,52.9,0.0,False,False,False,False,False,False
5551,M20410,M,302.3,311.9,0.31586699967867266,42.3,159.0,False,False,False,False,False,False
8974,L56153,L,296.8,307.4,0.3158669996808938,48.3,105.0,False,False,False,False,False,False
4228,L51407,L,302.2,310.8,0.3158669996700769,46.9,45.0,False,False,False,False,False,False
1489,L48668,L,298.2,309.1,0.3158669996818426,36.3,166.0,False,False,False,False,False,False
8525,L55704,L,298.3,309.4,0.3158669996762493,46.2,10.0,False,False,False,False,False,False
4295,M19154,M,301.7,310.1,0.3158669996887069,27.3,210.0,False,False,False,False,False,False
6809,L53988,L,301.0,310.7,0.3158669996707259,45.0,123.0,False,False,False,False,False,False
4205,M19064,M,302.3,310.9,0.3158669996795142,43.2,210.0,False,False,False,False,False,False
7298,L54477,L,300.1,310.5,0.31586699967820936,39.8,107.0,False,False,False,False,False,False
4073,L51252,L,301.9,310.6,0.3158669996837784,33.4,108.0,False,False,False,False,False,False
9136,H38549,H,300.0085898275486,310.0115802171291,0.315866999671748,50.3,97.0,False,False,False,False,False,False
8571,H37984,H,297.9,308.7,0.3158669996806878,35.9,120.0,False,False,False,False,False,False
8193,L55372,L,299.6,310.9,0.3158669996538261,65.2,209.0,True,False,False,False,True,False
4359,H33772,H,302.0,309.9,0.31586699968360304,34.5,156.0,False,False,False,False,False,False
5823,M20682,M,301.3,311.0,0.31586699967592674,50.2,214.0,False,False,False,False,False,False
1624,L48803,L,297.7,310.0115802171291,0.3158669996932791,22.9,68.0,False,False,False,False,False,False
8182,L55361,L,299.7,311.2,0.31586699969129983,23.7,183.0,False,False,False,False,False,False
4667,M19526,M,300.0085898275486,311.5,0.31586699968189125,36.6,47.0,False,False,False,False,False,False
1576,L48755,L,298.2,308.3,0.3158669996957491,18.0,168.0,False,False,False,False,False,False
263,M15122,M,298.1,308.2,0.3158669996884857,26.8,27.0,False,False,False,False,False,False
9944,M24803,M,298.3,308.0,0.31586699968940835,26.0,96.0,False,False,False,False,False,False
4296,L51475,L,301.8,310.2,0.3158669996755336,40.4,213.0,False,False,False,False,False,False
7969,L55148,L,300.9,312.2,0.31586699969067583,23.2,72.0,False,False,False,False,False,False
1870,M16729,M,298.3,308.1,0.31586699968462856,32.7,83.0,False,False,False,False,False,False
5712,L52891,L,302.2,311.6,0.3158669996806878,35.9,152.0,False,False,False,False,False,False
6409,L53588,L,300.3,309.9,0.31586699968338133,31.7,180.0,False,False,False,False,False,False
4084,M18943,M,302.0,310.4,0.3158669996817939,36.4,114.0,False,False,False,False,False,False
1469,M16328,M,298.6,309.8,0.31586699967287946,44.9,115.0,False,False,False,False,False,False
6247,H35660,H,300.8,310.3,0.3158669996755336,46.8,182.0,False,False,False,False,False,False
3791,L50970,L,302.3,310.9,0.3158669996723577,48.9,28.0,False,False,False,False,False,False
6594,L53773,L,301.6,310.7,0.3158669996865377,29.5,10.0,False,False,False,False,False,False
547,L47726,L,297.5,309.4,0.3158669996906222,24.3,110.0,False,False,False,False,False,False
7874,L55053,L,300.7,312.4,0.31586699967637705,38.6,56.0,False,False,False,False,False,False
7321,H36734,H,299.8,310.2,0.31586699967228227,49.7,161.0,False,False,False,False,False,False
7296,M22155,M,300.1,310.5,0.3158669996652571,57.4,99.0,False,False,False,False,False,False
7919,L55098,L,300.8,312.1,0.3158669996785001,41.3,173.0,False,False,False,False,False,False
6432,L53611,L,300.0085898275486,309.8,0.31586699966749826,59.4,26.0,False,False,False,False,False,False
7499,M22358,M,300.2,311.8,0.31586699968886267,28.5,184.0,False,False,False,False,False,False
2928,M17787,M,300.7,310.0115802171291,0.31586699967302656,49.8,165.0,False,False,False,False,False,False
4411,L51590,L,302.5,310.2,0.31586699968269843,32.2,64.0,False,False,False,False,False,False
4402,H33815,H,302.2,310.0,0.3158669996762493,43.6,38.0,False,False,False,False,False,False
7264,L54443,L,300.4,310.0115802171291,0.31586699967360654,46.9,19.0,False,False,False,False,False,False
4224,L51403,L,302.0,310.7,0.3158669996857095,31.9,37.0,False,False,False,False,False,False
1645,L48824,L,298.0,310.0115802171291,0.3158669996842937,33.3,121.0,False,False,False,False,False,False
3931,M18790,M,302.6,311.6,0.31586699969549337,19.2,174.0,False,False,False,False,False,False
6775,H36188,H,301.2,310.7,0.3158669996888317,27.3,35.0,False,False,False,False,False,False
7135,M21994,M,300.5,310.0,0.3158669996719018,50.2,119.0,False,False,False,False,False,False
9125,L56304,L,297.4,308.4,0.31586699967339066,50.4,70.0,False,False,False,False,False,False
803,L47982,L,300.0085898275486,307.8,0.3158669996819881,35.0,102.0,False,False,False,False,False,False
5907,L53086,L,300.0085898275486,310.3,0.3158669996800564,35.6,198.0,False,False,False,False,False,False
6142,L53321,L,300.8,310.8,0.3158669996773735,45.7,146.0,False,False,False,False,False,False
6140,L53319,L,300.8,310.7,0.31586699968269843,33.4,142.0,False,False,False,False,False,False
3581,L50760,L,301.8,310.6,0.31586699968543636,31.9,126.0,False,False,False,False,False,False
7405,L54584,L,299.8,310.8,0.3158669996810976,32.2,161.0,False,False,False,False,False,False
3094,L50273,L,300.0,309.3,0.3158669996712026,51.2,108.0,False,False,False,False,False,False
3379,L50558,L,301.5,310.7,0.3158669996818426,33.1,38.0,False,False,False,False,False,False
4407,L51586,L,302.5,310.3,0.315866999664965,58.5,55.0,True,False,True,False,False,False
4654,M19513,M,303.1,311.1,0.315866999683066,35.5,13.0,False,False,False,False,False,False
6593,M21452,M,301.6,310.7,0.3158669996755336,47.8,7.0,False,False,False,False,False,False
1945,L49124,L,298.1,308.1,0.3158669996901288,27.3,63.0,False,False,False,False,False,False
9582,L56761,L,299.4,310.6,0.31586699967280557,53.1,10.0,False,False,False,False,False,False
9294,L56473,L,298.3,309.1,0.31586699967417314,38.0,93.0,False,False,False,False,False,False
2452,L49631,L,299.2,308.7,0.31586699968543636,30.5,93.0,False,False,False,False,False,False
5324,M20183,M,303.4,312.7,0.3158669996713596,48.4,34.0,False,False,False,False,False,False
2008,L49187,L,300.0085898275486,308.4,0.3158669996815482,34.4,25.0,False,False,False,False,False,False
564,L47743,L,297.7,309.6,0.3158669996798413,35.2,153.0,False,False,False,False,False,False
7379,L54558,L,299.5,310.0,0.31586699967048437,52.4,94.0,False,False,False,False,False,False
368,M15227,M,297.6,308.4,0.31586699968189125,38.3,93.0,False,False,False,False,False,False
1313,L48492,L,298.9,310.1,0.31586699967656734,42.6,164.0,False,False,False,False,False,False
4825,L52004,L,303.4,310.0115802171291,0.31586699967815074,45.0,16.0,False,False,False,False,False,False
1368,M16227,M,298.8,310.2,0.3158669996824648,37.5,75.0,False,False,False,False,False,False
9997,H39410,H,298.9,308.4,0.31586699968471116,31.8,17.0,False,False,False,False,False,False
1695,L48874,L,298.0,307.5,0.31586699968412374,35.2,31.0,False,False,False,False,False,False
8568,L55747,L,298.0,308.7,0.31586699967884374,45.8,114.0,False,False,False,False,False,False
4710,M19569,M,303.4,311.6,0.31586699967479503,50.0,163.0,False,False,False,False,False,False
3605,L50784,L,301.8,310.8,0.3158669996812992,33.3,190.0,False,False,False,False,False,False
5942,L53121,L,300.6,310.7,0.31586699967424303,48.5,78.0,True,False,False,False,False,False
2173,L49352,L,299.5,309.2,0.31586699969080867,23.0,15.0,False,False,False,False,False,False
3718,H33131,H,302.3,311.4,0.31586699967458953,44.1,51.0,False,False,False,False,False,False
37,M14896,M,298.9,309.2,0.3158669996824648,36.7,101.0,False,False,False,False,False,False
4017,L51196,L,302.1,310.9,0.31586699968574816,30.3,186.0,False,False,False,False,False,False
4732,L51911,L,303.3,311.6,0.3158669996624201,45.1,219.0,True,False,True,False,False,False
4468,L51647,L,302.8,310.6,0.31586699968408094,37.9,207.0,False,False,False,False,False,False
6641,L53820,L,300.0085898275486,310.4,0.3158669996657379,43.2,133.0,False,False,False,False,False,False
